epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,43.9839,1.17806,1.07111,0.85086,0.95413,0.75,0.74536,0.40954,1.75777,0.99815,1.08577,0.001307,0.001307,0.001307
72,44.5428,1.23754,0.99461,0.87392,0.96504,0.75,0.74538,0.52084,1.6561,0.94757,1.08063,0.0012971,0.0012971,0.0012971
73,45.0864,1.1988,1.08443,0.86352,0.96504,0.75,0.74538,0.52084,1.6561,0.94757,1.08063,0.0012872,0.0012872,0.0012872
74,45.6363,1.22431,0.97275,0.83736,0.97195,0.75,0.74542,0.45111,1.60903,0.89429,1.08407,0.0012773,0.0012773,0.0012773
75,46.1988,1.08531,1.06638,0.86981,0.97308,0.75,0.74546,0.44706,1.76143,0.90727,1.09179,0.0012674,0.0012674,0.0012674
76,46.7533,1.11029,0.97678,0.84058,0.97071,0.75,0.74549,0.39734,1.99481,0.87335,1.1002,0.0012575,0.0012575,0.0012575
77,47.3945,1.12659,1.13828,0.86287,0.97071,0.75,0.74549,0.39734,1.99481,0.87335,1.1002,0.0012476,0.0012476,0.0012476
78,47.9551,1.35639,0.93358,0.86258,0.97154,0.75,0.74553,0.35588,1.95821,0.83129,1.08798,0.0012377,0.0012377,0.0012377
79,48.4997,1.24675,0.97435,0.85965,0.97399,0.75,0.74558,0.41254,1.80073,0.8198,1.07958,0.0012278,0.0012278,0.0012278
80,49.0871,0.9564,0.95483,0.85823,0.97716,0.75,0.74563,0.43052,1.75541,0.83104,1.07852,0.0012179,0.0012179,0.0012179
81,49.6159,1.05524,0.90859,0.852,0.97716,0.75,0.74563,0.43052,1.75541,0.83104,1.07852,0.001208,0.001208,0.001208
82,50.1778,1.00641,0.87745,0.82244,0.97929,0.75,0.74567,0.40547,1.75896,0.91424,1.07973,0.0011981,0.0011981,0.0011981
83,50.7525,1.11832,0.92846,0.86545,0.98097,0.75,0.74572,0.4058,1.69831,0.87146,1.08128,0.0011882,0.0011882,0.0011882
84,51.3149,1.09619,0.9197,0.85228,0.98209,0.75,0.74572,0.33123,1.90964,0.93224,1.09791,0.0011783,0.0011783,0.0011783
85,51.8843,1.044,0.88137,0.83111,0.98209,0.75,0.74572,0.33123,1.90964,0.93224,1.09791,0.0011684,0.0011684,0.0011684
